key,country,data_source,observation_year,cohort_from,cohort_to,women,mean_children,variance_geometric,cv_minimum_tail,cv_geometric,cv_bounded_max_tail,open_parity,open_share,open_mean,unknown_share_reported,poisson_cv,excess_variance,excess_cv_if_poisson
greece_2011,Greece,Census 2011,2011,1952,1961,719762,1.931338414642618,1.2138522795752462,0.5690195579427494,0.5704591366988326,0.5909390677637585,8,0.00305934461669274,9.0,0.0,0.7195662919013732,-0.7174861350673718,0.0
haiti_2003,Haiti,Census 2003,2003,1944,1953,226890,4.975274362025651,11.791040174432315,0.6593165581920782,0.6901746832261171,0.9606248028742378,8,0.2357089338445943,9.698578908002991,0.03323533171417615,0.44832347772838144,6.815765812406664,0.5247353167872357
hungary_2011,Hungary,Census 2011,2011,1952,1961,756078,1.929496692140229,1.1187944510390953,0.5470930022153202,0.5481900057338269,0.56369329080466,8,0.0020672470300683262,9.07613563659629,0.0,0.7199096263442818,-0.8107022411011338,0.0
ireland_2011,Ireland,Census 2011,2011,1952,1961,256882,2.5153572457392888,3.0330498659522993,0.6899685659034944,0.6923729630334062,0.7263428536223772,8,0.010514555321120203,9.0,0.013449367088607595,0.6305218811478361,0.5176926202130105,0.2860462852991671
kosovo_2011,Kosovo,Census 2011,2011,1952,1961,75082,4.145081377693722,4.893111911680322,0.5189814354973524,0.5336536856183313,0.7186474399321767,7,0.13268160144908234,8.0,0.0018346184525392182,0.4911718509124486,0.7480305339865998,0.20865394567385537
macedonia_2002,Macedonia,Census 2002,2002,1943,1952,112346,2.4820643369590374,2.223757776626459,0.5968514631915245,0.6008010809619287,0.6548864054856954,8,0.013520730600110373,9.072416063199473,0.009172208209126348,0.6347365145400435,-0.25830656033257826,0.0
mexico_2010,Mexico,Census 2010,2010,1951,1960,4811443,3.9590041906347015,7.220961670552297,0.6577509651044706,0.6787526816130772,0.8752901009247533,8,0.103474570934333,9.672967609498214,0.008715740643259733,0.502582103012468,3.2619574799175957,0.45619779978481745
montenegro_2011,Montenegro,Census 2011,2011,1952,1961,42669,2.3768778269938364,2.116331051229145,0.6098224413960536,0.6120472384255489,0.6416960331945547,8,0.0059762356746115445,9.231372549019607,0.00832035698514886,0.6486293112672726,-0.2605467757646913,0.0
nicaragua_2005,Nicaragua,Census 2005,2005,1946,1955,143390,5.937652555966246,14.724054332386089,0.586864676846057,0.6462475722213067,0.9919717601661221,8,0.310202943022526,10.47009892086331,0.027732573908326553,0.4103860687127057,8.786401776419844,0.4992185886046947
panama_2010,Panama,Census 2010,2010,1951,1960,142000,3.486760563380282,6.298334848279197,0.7016432761249224,0.71976503860805,0.9005950002802368,8,0.08028169014084507,9.595614035087719,0.014641593227395739,0.5355363291128292,2.811574284898915,0.48089765127603107
paraguay_2002,Paraguay,Census 2002,2002,1943,1952,153268,5.0993084356239,13.68634953223777,0.6756295469151837,0.7254918401897609,1.0483998958597822,8,0.2444162513550571,10.310075464546076,0.018460770566359048,0.442837468358301,8.58704109661387,0.5746593658855099
peru_2007,Peru,Census 2007,2007,1948,1957,1010870,4.393888432736158,8.376690678186915,0.636723275836758,0.6586993183747035,0.8770025055837786,8,0.151048107076083,9.53408867640317,0.025967894239848913,0.47706272804237065,3.982802245450757,0.454198134672601
poland_2002,Poland,Fertility Survey 2002,2002,1943,1952,2416652,2.1676430863856275,1.8263568433507018,0.6234549008765767,0.6234549008765767,0.6234549008765767,20,0.0,,0.006860920370173263,0.6792131922284235,-0.3412862430349257,0.0
romania_2002,Romania,Census 2002,2002,1943,1952,131718,2.2883964226605324,2.621355358359482,0.707508544872204,0.707508544872204,0.707508544872204,16,0.00013665558238054024,16.0,0.0,0.6610500918496803,0.3329589356989495,0.2521529637595256
russia_2010,Russia,Census 2010,2010,1951,1960,11383155,1.8685356564151152,1.0757556906717634,0.5550210579758772,0.5550798169064605,0.5558937109393631,12,0.00013801094687720584,12.908338637810312,0.041331418661114554,0.7315589116668205,-0.7927799657433519,0.0
serbia_2011,Serbia,Census 2011,2011,1952,1961,572313,1.831352773744437,0.8358446975866793,0.4984805527855418,0.49921863136100675,0.5094155737854351,8,0.0010256625308179266,9.173764906303237,0.0,0.7389481985357204,-0.9955080761577577,0.0
slovakia_2011,Slovakia,Census 2011,2011,1952,1961,394717,2.0560477506669335,2.6178797537677854,0.7816712111184769,0.786940053455703,0.8226321513933322,12,0.004694502643666222,14.311926605504587,0.09126032068545312,0.6974023422655588,0.5618320031008519,0.36456086012540767
slovenia_2011,Slovenia,Census 2011,2011,1952,1961,150810,1.8778197732245872,0.8447364706679679,0.4890830517528609,0.4894481762362132,0.4947121991647042,8,0.0006299317021417678,9.0,0.0,0.7297482229565478,-1.0330833025566193,0.0
south_korea_2010,South Korea,Census 2010,2010,1951,1960,34346,2.1969370523496186,0.948754375412193,0.44336283186257425,0.44336283186257425,0.44336283186257425,13,0.0,,0.0,0.6746696801167753,-1.2481826769374256,0.0
spain_2011,Spain,Census 2011,2011,1952,1961,3003168,1.858764188243487,1.4206131388801784,0.6412296814807537,0.6412296814807537,0.6412296815016372,20,3.5536026871022897e-06,20.000001370478678,0.0,0.7334792828848411,-0.43815104936330873,0.0
switzerland_2000,Switzerland,Census 2000,2000,1941,1950,444660,1.8310979175100077,1.5146376512316637,0.6647757700399732,0.6721137891167419,0.7801915681028989,5,0.016446273557324698,6.0,0.0,0.7389996209640571,-0.316460266278344,0.0
uruguay_2011,Uruguay,Census 2011,2011,1952,1961,189618,2.5717336961680854,3.6326870124038786,0.7406185731403362,0.7411190818861572,0.7474042855888531,12,0.0024944889198282865,12.99154334038055,0.015309036901633726,0.62357256911742,1.0609533162357931,0.40051809519681025
venezuela_2001,Venezuela,Census 2001,2001,1942,1951,774230,4.405447993490307,9.490879999992035,0.6682365453278949,0.6992994109643162,0.9469948619098958,8,0.15394650168554563,9.888413457504825,0.01776131332225366,0.4764364287594721,5.085432006501729,0.5118867018452034
